headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
‘Look Out!’,John E. Bennett and Jeff Chen issue a warning.,"TUESDAY PUZZLE — To paraphrase a famous film character, “Why did it have to be circled squares slithering their way through my puzzle?”",Crossword Puzzles,News,"puzzle, tuesday, paraphrase","['—', 'film', 'charact', '“', 'squar', 'way', 'puzzl', '”']","john, e, bennett","['john', 'e', 'bennett', 'jeff', 'issu', 'warn']",look,"['‘', '’']"
Carlos Ghosn Is Denied Bail as Jail Stint Looks to Continue,A Tokyo court rejected an offer that the fallen Nissan chairman hire private security guards and surrender all of his passports.,"TOKYO — For the second time in a week, a Japanese court has rejected a bail request by Carlos Ghosn, the former global auto chieftain who has spent more than two months in a Tokyo jail.","Ghosn, Carlos",News,"tokyo, second, time","['tokyo', '—', 'time', 'week', 'court', 'bail', 'request', 'carlo', 'ghosn', 'auto', 'chieftain', 'month', 'tokyo', 'jail']","tokyo, court, rejected","['court', 'offer', 'chairman', 'hire', 'secur', 'guard', 'passport']","carlos, ghosn, denied","['carlo', 'ghosn', 'bail', 'jail', 'stint']"
"When the Whole Country Reviews a Play, Referees Can’t Always Join","A blown call in the N.F.C. championship game on Sunday exposed a weakness in the N.F.L.’s rule book, as officials cannot review certain judgment calls despite numerous video replays.","More than 50 cameras blanketed the Superdome on Sunday afternoon, ensuring endless angles and replays of every highlight from the N.F.C. championship game between the New Orleans Saints and Los Angeles Rams.",Football,News,"50, camera, blanketed","['camera', 'superdom', 'afternoon', 'angl', 'replay', 'highlight', 'championship', 'game', 'orlean', 'saint', 'angel', 'ram']","call, n, f","['call', 'championship', 'game', 'sunday', 'weak', '’', 'rule', 'book', 'offici', 'judgment', 'video', 'replay']","whole, country, review","['countri', 'play', 'refere']"
What’s on TV Tuesday: ‘Conan’ and ‘Many Sides of Jane’,Conan O’Brien returns with his revamped late-night show. And “Many Sides of Jane” offers an intimate look at life with dissociative identity disorder.,Conan O’Brien returns with his revamped late-night show. And “Many Sides of Jane” offers an intimate look at life with dissociative identity disorder.,Movies,Schedule,"conan, brien, return","['conan', 'brien', 'return', 'revamp', 'show', '“', 'side', 'jane', '”', 'intim', 'look', 'life', 'ident', 'disord']","conan, brien, return","['conan', 'brien', 'return', 'revamp', 'show', '“', 'side', 'jane', '”', 'intim', 'look', 'life', 'ident', 'disord']","tv, tuesday, conan","['tv', 'tuesday', '‘', 'conan', '’', '‘', 'side', 'jane', '’']"
"If Mark Zuckerberg Wants to Talk, Britain Is Waiting",Facebook leadership has a history of lashing out instead of opening up.,"This month, Mark Zuckerberg announced that his pledge for this new year is to “host a series of public discussions about the future of technology in society.” He added that he intends to “try different formats to keep it interesting,” and we in Britain would like to suggest such an event for him. ",Politics and Government,Op-Ed,"month, mark, zuckerberg","['month', 'mark', 'zuckerberg', 'pledg', 'year', 'host', 'seri', 'discus', 'futur', 'technolog', 'societi', '”', 'format', 'britain', 'event']","facebook, leadership, history","['facebook', 'leadership', 'histori']","mark, zuckerberg, want","['mark', 'zuckerberg', 'britain']"
Word + Quiz: hibernate,This word has appeared in 58 articles on NYTimes.com in the past year.,Note: Our Sixth Annual 15-Second Vocabulary Video Challenge is underway. It will run until Feb. 18. A runner-up from last year’s competition is shown above.,,News,"note, sixth, annual","['video', 'challeng', 'runnerup', 'year', 'competit']","word, appeared, 58","['word', 'articl', 'nytimescom', 'year']","word, quiz, hibernate","['word', 'quiz', 'hibern']"
Scientists Are Teaching the Body to Accept New Organs ,Patients receiving new kidneys and livers must take damaging anti-rejection drugs for the rest of their lives. Now researchers hope to train the immune system instead of just tamping it down. ,"It was not the most ominous sign of health trouble, just a nosebleed that would not stop. So in February 2017, Michael Schaffer, who is 60 and lives near Pittsburgh, went first to a local emergency room, then to a hospital where a doctor finally succeeded in cauterizing a tiny cut in his nostril.",Transplants,News,"ominous, sign, health","['sign', 'health', 'troubl', 'noseble', 'michael', 'schaffer', 'live', 'pittsburgh', 'emerg', 'room', 'hospit', 'doctor', 'cut', 'nostril']","patient, receiving, new","['patient', 'kidney', 'liver', 'antireject', 'drug', 'rest', 'live', 'research', 'immun', 'system']","scientist, teaching, body","['scientist', 'bodi', 'organ']"
How Ants Sniff Out the Right Path,"They may seem like automatons, but ants are surprisingly sophisticated in their navigational strategies. ",Carpenter ants follow trails. Just watch them wandering about on your wooden porch until they strike a trail of pheromones (chemicals ants use for communication) that another ant has laid down.,Ants,News,"ant, trail, carpenter","['carpent', 'ant', 'trail', 'porch', 'trail', 'pheromon', 'chemic', 'ant', 'commun', 'ant']","may, seem, like","['automaton', 'ant', 'strategi']","ant, sniff, right","['ant', 'path']"
"Oceans Are Getting Louder, Posing Potential Threats to Marine Life","Increasing ship traffic, sonar and seismic air gun blasts now planned for offshore energy exploration may be disrupting migration, reproduction and even the chatter of the seas’ creatures.","Slow-moving, hulking ships crisscross miles of ocean in a lawn mower pattern, wielding an array of 12 to 48 air guns blasting pressurized air repeatedly into the depths of the ocean. ",Fish and Other Marine Life,News,"ocean, air, slow","['ship', 'crisscross', 'mile', 'ocean', 'lawn', 'mower', 'pattern', 'array', 'air', 'gun', 'air', 'depth', 'ocean']","increasing, ship, traffic","['ship', 'traffic', 'sonar', 'air', 'blast', 'offshor', 'energi', 'explor', 'migrat', 'reproduct', 'chatter', 'sea', 'creatur']","ocean, getting, louder","['ocean', 'threat', 'life']"
Math,How do you feel about math? Do you like it? Do you think you are good at it?,How do you feel about math? Do you like it? Do you think you are good at it? Why or why not?,,News,"feel, math, like",['math'],"feel, math, like",['math'],math,['math']
Michael Cohen’s Prison of Choice: Well-Known to Jewish Offenders,"For Jewish white-collar offenders, “the closest thing you have to nirvana in a federal prison” is a detention camp in upstate New York.",[What you need to know to start the day: Get New York Today in your inbox.],Prisons and Prisoners,News,"need, know, start","['day', 'york', 'today', 'inbox']","jewish, white, collar","['offend', 'thing', 'prison', '”', 'detent', 'camp', 'york']","michael, cohen, prison","['michael', 'cohen', '’', 'prison', 'choic', 'wellknown', 'offend']"
FIFA’s Boss Wants to Remake the Game. Europe Wants No Part of It.,"Gianni Infantino, FIFA’s president, has spent months pushing a plan to add two tournaments to the global soccer calendar, but European officials have been stubborn.",FIFA President Gianni Infantino’s plans to reorder world soccer are being stymied by a familiar foe: Europe.,Soccer,News,"fifa, president, gianni","['presid', 'gianni', 'infantino', '’', 'plan', 'world', 'soccer', 'foe', 'europ']","gianni, infantino, fifa","['gianni', 'infantino', 'fifa', '’', 'presid', 'month', 'plan', 'tournament', 'soccer', 'calendar', 'offici']","want, fifa, bos","['fifa', '’', 'bos', 'game', 'europ', 'part']"
Chilling Davos: A Bleak Warning on Global Division and Debt,An influential financier says investors should pay heed to growing risks and social tensions — a message resonating at the World Economic Forum.,"DAVOS, Switzerland — As business and political leaders arrive in the Swiss Alps for the annual meeting of the World Economic Forum, a surprisingly alarming letter from an influential investor who studiously eschews attention has already emerged as a talking point.",United States Economy,News,"davos, switzerland, business","['davo', 'switzerland', '—', 'busi', 'leader', 'alp', 'meet', 'world', 'forum', 'letter', 'investor', 'attent', 'point']","influential, financier, say","['financi', 'investor', 'heed', 'risk', 'tension', 'messag', 'reson', 'world', 'forum']","chilling, davos, bleak","['davo', 'warn', 'divis', 'debt']"
El Chapo Trial Suggests Trump’s Wall Would Do Little to Stop Drug Smuggling,"Though the president’s pet project has never been mentioned in 10 weeks of testimony, the trial does have something to add to the debate about it.",[El Chapo was found guilty on all 10 charges. Read our latest story on his conviction.],"Guzman Loera, Joaquin",News,"el, chapo, found","['el', 'chapo', 'charg', 'stori', 'convict']","though, president, pet","['presid', '’', 'pet', 'project', 'week', 'testimoni', 'trial', 'someth', 'debat']","el, chapo, trial","['el', 'chapo', 'trial', 'trump', '’', 'wall', 'drug']"
He Knows the Stars’ Dirty Laundry. Because He Washes It.,"Meet Hans-Jürgen Topf, the world’s top specialist for tour laundry, who has washed clothes for Madonna, Pink and Beyoncé, among others.","BERLIN — One afternoon in November, Hans-Jürgen Topf walked through the backstage area of the Mercedes-Benz Arena, where dozens of crew members were unloading the equipment for the final stop of U2’s “Experience + Innocence” tour. After enthusiastically greeting and hugging several of the workers, Topf, 62, came to a sweltering room filled with humming washing machines and dryers. “This is my life,” he said. “The artists live their life, and I live my laundry life.”",Rock 'n' Roll Laundry,News,"life, topf, live","['berlin', 'afternoon', 'hansjürgen', 'topf', 'area', 'mercedesbenz', 'arena', 'dozen', 'crew', 'member', 'equip', 'stop', '’', '“', 'experi', 'innoc', '”', 'tour', 'worker', 'room', 'machin', 'dryer', 'life', '”', 'artist', 'life', 'life', '”']","meet, han, jürgen","['meet', 'hansjürgen', 'world', '’', 'specialist', 'laundri', 'cloth', 'madonna', 'pink', 'beyoncé', 'other']","know, star, dirty","['star', '’', 'dirti', 'laundri']"
Learning With: ‘Coming Soon to a Police Station Near You: The DNA “Magic Box”’,What does the Rapid DNA system offer law enforcement agencies? What are its drawbacks?,Before reading the article: ,,News,"reading, article",['articl'],"rapid, dna, system","['dna', 'system', 'law', 'enforc', 'agenc', 'drawback']","learning, coming, soon","['‘', 'polic', 'station', 'dna', '“', 'magic', 'box', '”', '’']"
Photographing the Yazidis in Iraq as They Struggle to Rebuild Their Lives ,"Emilienne Malfatto has been documenting the lives of Yazidis, who returned to their ancestral homeland after ISIS was routed from the city in 2015.","When Emilienne Malfatto first stepped foot in Sinjar, a remote massif in northwestern Iraq, she felt that everything, even time itself, was suspended.",Yazidi (Religious Sect),News,"emilienne, malfatto, first","['emilienn', 'malfatto', 'foot', 'sinjar', 'massif', 'iraq', 'everyth', 'time']","emilienne, malfatto, documenting","['emilienn', 'malfatto', 'live', 'yazidi', 'homeland', 'isi', 'citi']","photographing, yazidis, iraq","['yazidi', 'iraq', 'live']"
